City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,mcminnville,45.2101,-123.1987,287.29,66,40,7.72,US,1715038541
302,harper,4.375,-7.7169,300.23,84,93,1.78,LR,1715038541
303,chakari,-18.0629,29.8925,291.02,49,0,3.35,ZW,1715038541
304,bodo,67.28,14.405,278.02,62,0,5.14,NO,1715038541
305,tobruk,32.0836,23.9764,290.64,77,0,3.19,LY,1715038542
306,saipan,15.1355,145.701,304.54,62,40,5.66,MP,1715038542
307,trincomalee,8.5711,81.2335,300.99,82,18,2.3,LK,1715038542
308,ancud,-41.8697,-73.8203,280.42,93,97,4.49,CL,1715038353
309,kone,-21.0595,164.8658,300.43,43,4,2.8,NC,1715038543
310,hun,29.1268,15.9477,295.37,26,0,4.05,LY,1715038543
311,sao%20miguel%20do%20araguaia,-13.275,-50.1628,299.08,59,8,0.36,BR,1715038543
312,san%20patricio,28.017,-97.5169,302.55,76,36,7.41,US,1715038543
313,vallenar,-28.5708,-70.7581,286.81,48,0,1.22,CL,1715038336
314,constantia,44.1833,28.65,283.54,75,55,7.0,RO,1715038544
315,mourenx,43.3833,-0.6,285.01,93,75,4.12,FR,1715038544
316,pangody,65.85,74.4859,258.32,98,39,1.87,RU,1715038544
317,tosontsengel,48.7567,98.2839,286.03,30,45,0.97,MN,1715038545
318,belmonte,-15.8631,-38.8828,297.85,86,0,4.11,BR,1715038545
319,cox's%20bazar,21.4532,91.9798,299.96,78,99,1.61,BD,1715038545
320,benghazi,32.1167,20.0667,291.68,60,0,3.56,LY,1715038545
321,east%20london,-33.0153,27.9116,295.04,48,0,1.22,ZA,1715038546
322,modimolle,-24.7,28.4,289.07,33,0,3.39,ZA,1715038546
323,freetown,8.484,-13.2299,300.64,86,72,2.52,SL,1715038546
324,severo-yeniseyskiy,60.3725,93.0408,272.91,88,79,4.92,RU,1715038546
325,nikolayevsk-on-amure,53.1406,140.73,278.27,53,7,1.79,RU,1715038546
326,nemuro,43.3236,145.575,280.43,99,100,4.74,JP,1715038547
327,port%20douglas,-16.4833,145.4667,297.71,82,78,4.52,AU,1715038547
328,bac%20lieu,9.285,105.7244,302.98,66,15,3.89,VN,1715038547
329,malanje,-9.5402,16.341,290.69,69,5,0.77,AO,1715038547
330,sungai%20penuh,-2.0833,101.3833,293.03,97,100,0.63,ID,1715038548
331,jian'ou,27.0469,118.3253,294.76,81,100,0.36,CN,1715038548
332,lashio,22.9333,97.75,294.3,58,92,0.6,MM,1715038548
333,namibe,-15.1961,12.1522,295.87,70,3,3.0,AO,1715038548
334,necochea,-38.5473,-58.7368,284.54,76,4,3.31,AR,1715038549
335,kattivakkam,13.2167,80.3167,305.43,84,50,8.54,IN,1715038549
336,tolanaro,-25.0319,46.9987,295.19,83,40,6.17,MG,1715038549
337,saint-paul,-21.0096,55.2707,297.21,71,5,2.11,RE,1715038549
338,sterling,39.0062,-77.4286,296.16,80,100,1.54,US,1715038469
339,kogalym,62.2654,74.4791,268.14,86,100,4.47,RU,1715038426
340,arzgir,45.3728,44.2206,282.19,81,80,0.54,RU,1715038550
341,klintsy,52.7602,32.2393,285.3,98,100,4.41,RU,1715038550
342,soe,-9.8607,124.284,294.88,84,52,0.75,ID,1715038551
343,swan%20hill,-35.3378,143.5544,290.24,51,0,3.4,AU,1715038551
344,colonia,50.9333,6.95,287.02,93,75,2.06,DE,1715038513
345,thunder%20bay,48.4001,-89.3168,288.1,44,100,5.66,CA,1715038489
346,pokaran,26.9167,71.9167,304.02,20,0,4.02,IN,1715038552
347,nelson%20bay,-32.7167,152.15,292.65,79,43,0.89,AU,1715038552
348,tofol,5.3248,163.0078,304.03,70,75,4.12,FM,1715038552
349,langepas,61.2544,75.2124,273.37,85,100,5.15,RU,1715038552
350,zahedan,29.4963,60.8629,293.1,42,0,0.0,IR,1715038553
351,konnur,16.2,74.75,297.97,59,0,1.83,IN,1715038553
352,queenstown,-31.8976,26.8753,287.65,41,0,2.18,ZA,1715038553
353,vrutky,49.1133,18.9171,288.2,83,98,0.64,SK,1715038553
354,vaghodia,22.3,73.3833,301.07,78,0,2.06,IN,1715038554
355,hanceville,34.0607,-86.7675,300.49,69,26,2.94,US,1715038554
356,sibiti,-3.6819,13.3499,294.97,98,54,0.83,CG,1715038554
357,palikir%20-%20national%20government%20center,6.9248,158.1611,301.62,89,100,5.14,FM,1715038554
358,kirakira,-10.4544,161.9205,303.97,68,96,4.08,SB,1715038555
359,darwin,-12.4611,130.8418,299.2,59,20,4.12,AU,1715038555
360,kalabo,-14.97,22.6814,291.88,64,45,1.73,ZM,1715038555
